Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
M&M.NS,2024-03-01,1335.0,22.15,28848.0,1989.0,3125.0,750.0,4030.0,22.0,2084.0991128177966
M&M.NS,2024-06-01,1248.0,26.4,29975.0,2108.0,3546.0,733.0,4621.0,23.0,2773.062759891633
M&M.NS,2024-09-01,1302.0,25.5,30790.0,2217.0,3361.0,1126.0,4740.0,29.0,2896.7763081212197
M&M.NS,2024-12-01,1495.0,25.58,33239.0,2362.0,3624.0,719.0,5092.0,29.0,2961.0149307250977
M&M.NS,2025-03-01,2029.0,26.5,34688.0,2397.0,3542.0,1141.0,4627.0,23.0,2811.8282491393006
M&M.NS,2025-06-01,1548.0,32.84,37301.0,2431.0,4377.0,1395.0,5644.0,22.0,3176.559314727783
MAHABANK.NS,2022-06-01,0.0,0.67,1349.0,1772.0,453.0,317.0,654.0,31.0,15.098999492705815
MAHABANK.NS,2022-09-01,0.0,0.79,1507.0,1928.0,535.0,503.0,883.0,39.0,18.785249002518192
MAHABANK.NS,2022-12-01,0.0,1.15,1622.0,2149.0,777.0,640.0,999.0,22.0,26.750782951476083
MAHABANK.NS,2023-03-01,0.0,1.25,2098.0,2308.0,841.0,822.0,911.0,8.0,25.513107140858967
MAHABANK.NS,2023-06-01,0.0,1.25,1882.0,2449.0,884.0,629.0,1088.0,19.0,31.225585520267487
MAHABANK.NS,2023-09-01,0.0,1.3,2164.0,2636.0,920.0,668.0,936.0,2.0,42.27321008046468
MAHABANK.NS,2023-12-01,0.0,1.47,2076.0,2705.0,1038.0,680.0,1070.0,3.0,49.4263244751961
MAHABANK.NS,2024-03-01,0.0,1.74,2339.0,2882.0,1230.0,1022.0,1268.0,4.0,61.094051490395756
MAHABANK.NS,2024-06-01,0.0,1.83,2349.0,3075.0,1295.0,894.0,1344.0,4.0,62.74162926212434
MAHABANK.NS,2024-09-01,0.0,1.88,2219.0,3210.0,1333.0,792.0,1380.0,4.0,54.38730442908503
MAHABANK.NS,2024-12-01,0.0,1.84,2269.0,3381.0,1412.0,788.0,1463.0,4.0,50.24635446071625
MAHABANK.NS,2025-03-01,0.0,1.95,2561.0,3614.0,1502.0,981.0,1537.0,3.0,47.62498887918763
MAHABANK.NS,2025-06-01,0.0,1.96,2414.0,3762.0,1504.0,825.0,1703.0,6.0,55.55078113079071
MAHLIFE.NS,2022-06-01,2.0,3.55,127.0,2.0,76.0,119.0,83.0,9.0,419.4075084867932
MAHLIFE.NS,2022-09-01,3.0,-0.36,109.0,2.0,-8.0,31.0,-14.0,-47.0,432.64276172268774
MAHLIFE.NS,2022-12-01,3.0,1.56,198.0,3.0,34.0,51.0,33.0,-4.0,364.2396947467138
MAHLIFE.NS,2023-03-01,3.0,0.02,283.0,3.0,1.0,38.0,4.0,86.0,364.918288675944
MAHLIFE.NS,2023-06-01,3.0,-0.2,141.0,4.0,-4.0,37.0,-14.0,-69.0,482.8102526664734
MAHLIFE.NS,2023-09-01,3.0,-0.89,53.0,0.0,-19.0,8.0,-30.0,-36.0,524.4798746744792
MAHLIFE.NS,2023-12-01,4.0,2.35,121.0,0.0,50.0,82.0,39.0,-28.0,556.9850837953629
MAHLIFE.NS,2024-03-01,4.0,3.36,68.0,3.0,71.0,119.0,59.0,-22.0,593.2857076353946
MAHLIFE.NS,2024-06-01,4.0,0.6,230.0,6.0,13.0,55.0,3.0,-314.0,592.0978619975429
MAHLIFE.NS,2024-09-01,4.0,-0.66,55.0,7.0,-14.0,45.0,-14.0,0.0,510.59003325431576
MAHLIFE.NS,2024-12-01,4.0,-1.05,193.0,4.0,-22.0,28.0,-5.0,336.0,422.4891014099121
MAHLIFE.NS,2025-03-01,6.0,3.99,64.0,2.0,85.0,149.0,87.0,2.0,318.69568440065547
MAHLIFE.NS,2025-06-01,6.0,2.4,87.0,4.0,51.0,107.0,42.0,-23.0,355.3604025840759
MANKIND.NS,2022-06-01,78.0,7.3,1724.0,16.0,298.0,20.0,382.0,22.0,
MANKIND.NS,2022-09-01,79.0,10.48,1835.0,10.0,423.0,31.0,533.0,21.0,
MANKIND.NS,2022-12-01,85.0,7.09,1654.0,13.0,296.0,40.0,379.0,22.0,
MANKIND.NS,2023-03-01,85.0,7.13,1636.0,5.0,294.0,50.0,377.0,22.0,1357.3531565946691
MANKIND.NS,2023-06-01,87.0,12.15,1924.0,6.0,494.0,63.0,624.0,21.0,1737.04026222229
MANKIND.NS,2023-09-01,96.0,12.51,2025.0,9.0,511.0,63.0,641.0,20.0,1800.3044840494792
MANKIND.NS,2023-12-01,110.0,11.33,2000.0,9.0,460.0,75.0,562.0,18.0,2065.1463977444555
MANKIND.NS,2024-03-01,100.0,11.76,1836.0,9.0,477.0,94.0,572.0,17.0,2229.8116765426375
MANKIND.NS,2024-06-01,103.0,13.39,2196.0,11.0,543.0,108.0,666.0,18.0,2170.497605846774
MANKIND.NS,2024-09-01,106.0,16.31,2226.0,7.0,659.0,112.0,849.0,22.0,2577.0470246345767
