,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector
2025-06-30,3609800000.0,930300000.0,3609800000.0,2679500000.0,27700000.0,126993095.0,15.93,2023000000.0,628800000.0,169200000.0,2258500000.0,5938900000.0,3659700000.0,8197400000.0,17894700000.0,26092100000.0,26092100000.0,SUPREMEIND.NS,Materials
2025-03-31,4558000000.0,913600000.0,4558000000.0,3644400000.0,-27100000.0,,,2939400000.0,732100000.0,-406900000.0,3428000000.0,3875700000.0,-4817800000.0,7303700000.0,22095500000.0,29399200000.0,29399200000.0,SUPREMEIND.NS,Materials
2024-12-31,3396800000.0,912900000.0,3396800000.0,2483900000.0,29800000.0,127017663.0,14.72,1869700000.0,584400000.0,89000000.0,2175300000.0,5634200000.0,3569000000.0,7809500000.0,17289300000.0,25098800000.0,25098800000.0,SUPREMEIND.NS,Materials
2024-09-30,3620900000.0,899400000.0,3620900000.0,2721500000.0,26200000.0,127060271.0,16.26,2066000000.0,629300000.0,150500000.0,2292900000.0,5550700000.0,3453100000.0,7843600000.0,14885900000.0,22729500000.0,22729500000.0,SUPREMEIND.NS,Materials
2024-06-30,4463000000.0,860300000.0,4463000000.0,3602700000.0,33300000.0,127030669.0,21.52,2733700000.0,835700000.0,214400000.0,3013000000.0,5392900000.0,3320100000.0,8405900000.0,17957600000.0,26363500000.0,26363500000.0,SUPREMEIND.NS,Materials
2025-06-30,2241000000.0,1112000000.0,2241000000.0,1129000000.0,116000000.0,403255814.0,2.15,867000000.0,146000000.0,177000000.0,1000000000.0,5569000000.0,1840000000.0,6569000000.0,2176000000.0,8745000000.0,8745000000.0,SYNGENE.NS,Healthcare
2025-03-31,3451000000.0,1061000000.0,3586000000.0,2525000000.0,120000000.0,,,1833000000.0,572000000.0,189000000.0,2445000000.0,4089000000.0,-287000000.0,6534000000.0,2350000000.0,8884000000.0,8884000000.0,SYNGENE.NS,Healthcare
2024-12-31,3019000000.0,1087000000.0,3019000000.0,1932000000.0,124000000.0,402147239.0,3.26,1311000000.0,497000000.0,183000000.0,1732000000.0,5331000000.0,1749000000.0,7063000000.0,2374000000.0,9437000000.0,9437000000.0,SYNGENE.NS,Healthcare
2024-09-30,2613000000.0,1109000000.0,2613000000.0,1504000000.0,131000000.0,401893939.0,2.64,1061000000.0,312000000.0,165000000.0,1296000000.0,5248000000.0,1624000000.0,6544000000.0,2366000000.0,8910000000.0,8910000000.0,SYNGENE.NS,Healthcare
2024-06-30,1879000000.0,1069000000.0,2199000000.0,1130000000.0,117000000.0,402659574.0,1.88,757000000.0,256000000.0,181000000.0,662000000.0,4900000000.0,1532000000.0,5562000000.0,2335000000.0,7897000000.0,7897000000.0,SYNGENE.NS,Healthcare
2025-06-30,1759303000.0,271493000.0,1759303000.0,1487810000.0,13372000.0,134552045.0,8.8,1184058000.0,290380000.0,120053000.0,1367757000.0,623512000.0,352019000.0,1991269000.0,8415288000.0,10406557000.0,10406557000.0,TANLA.NS,IT Services
2025-03-31,1671901000.0,270549000.0,1744125000.0,1473576000.0,14365000.0,,,1173335000.0,285876000.0,-279723000.0,1403723000.0,814917000.0,-102477000.0,2218640000.0,8025008000.0,10243648000.0,10243648000.0,TANLA.NS,IT Services
2024-12-31,1728117000.0,245724000.0,1728117000.0,1482393000.0,14696000.0,134523042.0,8.81,1185148000.0,282549000.0,93972000.0,1388421000.0,652270000.0,406546000.0,2040691000.0,7963599000.0,10004290000.0,10004290000.0,TANLA.NS,IT Services
2024-09-30,1856647000.0,234408000.0,1856647000.0,1622239000.0,15010000.0,134655119.0,9.67,1302115000.0,305114000.0,102582000.0,1519657000.0,554978000.0,320570000.0,2074635000.0,7932593000.0,10007228000.0,10007228000.0,TANLA.NS,IT Services
2024-06-30,1981694000.0,227062000.0,1981694000.0,1754632000.0,15712000.0,134626311.0,10.49,1412230000.0,326690000.0,96148000.0,1658484000.0,563168000.0,336106000.0,2221652000.0,7800397000.0,10022049000.0,10022049000.0,TANLA.NS,IT Services
2025-06-30,7870000000.0,2800000000.0,7870000000.0,5070000000.0,1470000000.0,254802831.0,9.89,2520000000.0,440000000.0,960000000.0,3690000000.0,21640000000.0,6630000000.0,25330000000.0,11860000000.0,37190000000.0,37190000000.0,TATACHEM.NS,Chemicals
2025-03-31,2490000000.0,2930000000.0,2490000000.0,-440000000.0,480000000.0,,,-560000000.0,-250000000.0,-1330000000.0,360000000.0,18550000000.0,-1690000000.0,18910000000.0,15060000000.0,33970000000.0,33970000000.0,TATACHEM.NS,Chemicals
2024-12-31,4940000000.0,2800000000.0,4240000000.0,1440000000.0,1480000000.0,254807692.0,-2.08,-530000000.0,170000000.0,280000000.0,1540000000.0,29220000000.0,14700000000.0,30760000000.0,5140000000.0,35900000000.0,35900000000.0,TATACHEM.NS,Chemicals
2024-09-30,7700000000.0,2770000000.0,7700000000.0,4930000000.0,1450000000.0,254927727.0,7.61,1940000000.0,810000000.0,1080000000.0,3410000000.0,28010000000.0,13340000000.0,31420000000.0,8570000000.0,39990000000.0,39990000000.0,TATACHEM.NS,Chemicals
2024-06-30,6750000000.0,2730000000.0,6750000000.0,4020000000.0,1330000000.0,254668930.0,5.89,1500000000.0,940000000.0,470000000.0,3010000000.0,21430000000.0,7260000000.0,24440000000.0,13450000000.0,37890000000.0,37890000000.0,TATACHEM.NS,Chemicals
2025-06-30,6481100000.0,1489300000.0,6481100000.0,4991800000.0,337600000.0,991543027.0,3.37,3341500000.0,1189800000.0,411700000.0,4580100000.0,14582000000.0,9236300000.0,19162100000.0,28627000000.0,47789100000.0,47789100000.0,TATACONSUM.NS,fmcg
2025-03-31,6527700000.0,1530900000.0,7228800000.0,5697900000.0,400900000.0,,,3448500000.0,1226300000.0,-1136700000.0,4690100000.0,10889100000.0,-15512800000.0,15579200000.0,29404100000.0,44983300000.0,44983300000.0,TATACONSUM.NS,fmcg
2024-12-31,6163300000.0,1503200000.0,6101700000.0,4598500000.0,579200000.0,988936170.0,2.82,2788800000.0,1021800000.0,516000000.0,4144100000.0,14107100000.0,8824400000.0,18251200000.0,26184400000.0,44435600000.0,44435600000.0,TATACONSUM.NS,fmcg
2024-09-30,6722600000.0,1493300000.0,6450900000.0,4957600000.0,986900000.0,964074074.0,3.78,3644200000.0,377300000.0,459700000.0,4769600000.0,13606100000.0,8477400000.0,18375700000.0,23768800000.0,42144500000.0,42144500000.0,TATACONSUM.NS,fmcg
2024-06-30,7064500000.0,1480000000.0,6894500000.0,5414500000.0,936000000.0,961324503.0,3.02,2903200000.0,1337000000.0,391700000.0,5193800000.0,14352600000.0,9422700000.0,19546400000.0,23974300000.0,43520700000.0,43520700000.0,TATACONSUM.NS,fmcg
2025-06-30,2251812000.0,242721000.0,2251812000.0,2009091000.0,45625000.0,62281148.0,23.18,1443677000.0,519789000.0,384729000.0,1624362000.0,1339743000.0,1097022000.0,2964105000.0,5956854000.0,8920959000.0,8920959000.0,TATAELXSI.NS,IT Services
2025-03-31,2507277000.0,246880000.0,2507277000.0,2260397000.0,45912000.0,,,1724185000.0,490300000.0,-1299188000.0,2155628000.0,2181490000.0,-1405232000.0,4337118000.0,4746238000.0,9083356000.0,9083356000.0,TATAELXSI.NS,IT Services
2024-12-31,2864663000.0,259672000.0,2864663000.0,2604991000.0,46503000.0,62306324.0,31.94,1990064000.0,568424000.0,398536000.0,2206455000.0,1472537000.0,1212865000.0,3678992000.0,5712720000.0,9391712000.0,9391712000.0,TATAELXSI.NS,IT Services
